code,name,city,country,latitude_deg,longitude_deg
AAA,Anaa Airport,Anaa,French Polynesia,-17.3526,-145.509995
AAC,El Arish International Airport,El Arish,Egypt,31.055324,33.827964
AAE,Annaba Rabah Bitat Airport,Annaba,Algeria,36.826781,7.81334
AAL,Aalborg Airport,Aalborg,Denmark,57.094763,9.84993
AAM,Malamala Airport,Malamala,South Africa,-24.816866,31.544085
AAN,Al Ain International Airport,Al Ain,United Arab Emirates,24.2617,55.6092
AAO,Anaco Airport,Anaco,Venezuela,9.430225,-64.470726
AAP,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,Indonesia,-0.374478,117.250128
AAQ,Anapa Vityazevo Airport,Krasnyi Kurgan,Russia,45.002102,37.347301
AAR,Aarhus Airport,Aarhus,Denmark,56.303331,10.618286
AAT,Altay Xuedu Airport,Altay,China,47.749886,88.085808
AAV,Allah Valley Airport,Surallah,Philippines,6.367903,124.752431
AAX,Romeu Zema Airport,Araxá,Brazil,-19.5632,-46.9604
AAY,Al Ghaydah International Airport,Al Ghaydah,Yemen,16.193341,52.174186
ABA,Abakan International Airport,Abakan,Russia,53.740002,91.385002
ABB,Asaba International Airport,Asaba,Nigeria,6.204167,6.665278
ABC,Albacete Airport / Los Llanos Air Base,Albacete,Spain,38.948502,-1.86352
ABD,Abadan Ayatollah Jami International Airport,Abadan,Iran,30.367887,48.230075
ABE,Lehigh Valley International Airport,Allentown/Bethlehem,United States,40.651773,-75.442797
ABI,Abilene Regional Airport,Abilene,United States,32.4113006592,-99.68190002440001
ABJ,Félix-Houphouët-Boigny International Airport,Abidjan,Côte d'Ivoire,5.26139,-3.92629
ABK,Kebri Dahar Airport,Kebri Dahar,Ethiopia,6.732577,44.241339
ABL,Ambler Airport,Ambler,United States,67.105529,-157.855339
ABQ,Albuquerque International Sunport,Albuquerque,United States,35.039976,-106.608925
ABR,Aberdeen Regional Airport,Aberdeen,United States,45.449100494384766,-98.42179870605469
ABS,Abu Simbel Airport,Abu Simbel,Egypt,22.375924,31.611734
ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,Saudi Arabia,20.298506,41.636153
ABV,Nnamdi Azikiwe International Airport,Abuja,Nigeria,9.00679,7.26317
ABX,Albury Airport,East Albury,Australia,-36.066758,146.959148
ABY,Southwest Georgia Regional Airport,Albany,United States,31.532946,-84.196215
ABZ,Aberdeen International Airport,Aberdeen,United Kingdom,57.2019,-2.19778
ACA,General Juan N. Álvarez International Airport,Acapulco,Mexico,16.757126,-99.753113
ACC,Kotoka International Airport,Accra,Ghana,5.605189800262451,-0.16678600013256073
ACE,César Manrique-Lanzarote Airport,San Bartolomé,Spain,28.945499,-13.6052
ACH,Sankt Gallen Altenrhein Airport,St. Gallen,Switzerland,47.485001,9.56077
ACI,Alderney Airport,Saint Anne,Guernsey,49.706104,-2.21472
ACJ,Anuradhapura Airport,Anuradhapura,Sri Lanka,8.301542,80.42848
ACK,Nantucket Memorial Airport,Nantucket,United States,41.25310135,-70.06020355
ACN,Ciudad Acuña International Airport,Ciudad Acuña,Mexico,29.333662,-101.100555
ACS,Achinsk Airport,Achinsk,Russia,56.269185,90.57511
ACT,Waco Regional Airport,Waco,United States,31.611299514770508,-97.23049926757812
ACV,California Redwood Coast-Humboldt County Airport,Arcata/Eureka,United States,40.978101,-124.109
ACX,Xingyi Wanfenglin Airport,Xingyi,China,25.083423,104.960804
ACY,Atlantic City International Airport,Atlantic City,United States,39.456201,-74.577511
ACZ,Zabol Airport,Zabol,Iran,31.098301,61.5439
ADA,Adana Şakirpaşa Airport,Seyhan,Turkey,36.982201,35.280399
ADB,Adnan Menderes International Airport,Gaziemir,Turkey,38.2924,27.157
ADD,Addis Ababa Bole International Airport,Addis Ababa,Ethiopia,8.97789,38.799301
ADE,Aden International Airport,Aden,Yemen,12.829564,45.029976
ADF,Adıyaman Airport,Adıyaman,Turkey,37.7314,38.468899
ADI,Arandis Airport,Arandis,Namibia,-22.461875,14.979322
ADJ,Marka International (Amman Civil) Airport,Amman,Jordan,31.9727,35.9916
ADK,Adak Airport,Adak,United States,51.883564,-176.642783
ADL,Adelaide International Airport,Adelaide,Australia,-34.947512,138.533393
ADP,Ampara Airport,Ampara,Sri Lanka,7.336745,81.623869
ADQ,Kodiak Airport,Kodiak,United States,57.75,-152.4940033
ADT,Ada Regional Airport,Ada,United States,34.805214,-96.671988
ADU,Ardabil Airport,Ardabil,Iran,38.3256988525,48.4244003296
ADW,Joint Base Andrews,Camp Springs,United States,38.810799,-76.866997
ADX,Leuchars Station Airfield,"Leuchars, Fife",United Kingdom,56.37398,-2.868862
ADZ,Gustavo Rojas Pinilla International Airport,San Andrés,Colombia,12.5836,-81.7112
AEB,Baise (Bose) Bama Airport,Baise (Tianyang),China,23.7206,106.959999
AEG,Aek Godang Airport,Padang Sidempuan,Indonesia,1.4001,99.430496
AEH,Abeche Airport,Abeche,Chad,13.847,20.844299
AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina,-34.559419,-58.415536
AER,Sochi International Airport,Sochi,Russia,43.449902,39.9566
AES,Ålesund Airport,Ålesund,Norway,62.560443,6.110845
AEU,Abu Musa Island Airport,Abu Musa,Iran,25.8757,55.033001
AEX,Alexandria International Airport,Alexandria,United States,31.325828,-92.546702
AEY,Akureyri International Airport,Akureyri,Iceland,65.656573,-18.072018
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,-34.588299,-68.4039
AFL,Piloto Osvaldo Marques Dias Airport,Alta Floresta,Brazil,-9.866389,-56.106298
AFW,Perot Field/Fort Worth Alliance Airport,Fort Worth,United States,32.99044,-97.31947
AFY,Afyon Air Base,Afyonkarahisar,Turkey,38.726398,30.601101
AFZ,Sabzevar National Airport,Sabzevar,Iran,36.16809844970703,57.59519958496094
AGA,Al Massira Airport,Agadir (Temsia),Morocco,30.322478,-9.412003
AGB,Augsburg Airport,Augsburg,Germany,48.425278,10.931667
AGC,Allegheny County Airport,Pittsburgh,United States,40.354401,-79.930199
AGF,Agen La Garenne airport,Agen,France,44.174171,0.59309
AGH,Ängelholm-Helsingborg Airport,Ängelholm,Sweden,56.29610061645508,12.847100257873535
AGP,Málaga-Costa del Sol Airport,Málaga,Spain,36.6749,-4.49911
AGR,Agra Airport / Agra Air Force Station,Agra,India,27.157975,77.961025
AGS,Augusta Regional At Bush Field,Augusta,United States,33.3699,-81.9645
AGT,Guaraní International Airport,Ciudad del Este,Paraguay,-25.457186,-54.839544
AGU,Aguascalientes International Airport,Aguascalientes,Mexico,21.699589,-102.318372
AGV,Oswaldo Guevara Mujica Airport,Acarigua,Venezuela,9.553375,-69.237869
AGX,Agatti Airport,Agatti,India,10.8237,72.176003
AGZ,Aggeneys Airport,Aggeneys,South Africa,-29.281799,18.8139
AHA,Maa Mahamaya Airport,Ambikapur,India,22.98753,83.19612
AHB,Abha International Airport,Abha,Saudi Arabia,18.2404,42.656601
AHE,Ahe Airport,Ahe Atoll,French Polynesia,-14.428099632263184,-146.2570037841797
AHJ,Hongyuan Airport,Ngawa (Hongyuan),China,32.53154,102.35224
